[+00:00:00 | ~--:--:-- left] Device: cuda
Computing baselines (100 episodes each)...
  Random baseline: 56.0% ± 18.0%
  Greedy baseline: 80.1% ± 12.0%
[+00:00:51 | ~01:32:04 left] [Ep 46] Reward: 416.05 | Coverage: 58.5% | Eps: 0.989 | Loss: 0.0000
[+00:00:52 | ~01:32:03 left] [Ep 47] Reward: 302.75 | Coverage: 70.4% | Eps: 0.989 | Loss: 0.0000
[+00:00:53 | ~01:32:02 left] [Ep 48] Reward: 143.93 | Coverage: 57.8% | Eps: 0.989 | Loss: 0.0000
[+00:00:55 | ~01:32:01 left] [Ep 49] Reward: 275.68 | Coverage: 52.7% | Eps: 0.988 | Loss: 0.0000
[+00:00:56 | ~01:32:00 left] [Ep 50] Reward: 115.37 | Coverage: 68.3% | Eps: 0.988 | Loss: 0.0000
[+00:00:57 | ~01:31:59 left] [Ep 51] Reward: 298.18 | Coverage: 57.6% | Eps: 0.988 | Loss: 0.0000
[+00:00:58 | ~01:31:57 left] [Ep 52] Reward: 356.31 | Coverage: 56.7% | Eps: 0.988 | Loss: 0.0000
[+00:00:59 | ~01:31:56 left] [Ep 53] Reward: 461.00 | Coverage: 57.6% | Eps: 0.987 | Loss: 0.0000
[+00:01:00 | ~01:31:55 left] [Ep 54] Reward: 340.17 | Coverage: 55.2% | Eps: 0.987 | Loss: 0.0000
[+00:01:01 | ~01:31:54 left] [Ep 55] Reward: 202.85 | Coverage: 54.1% | Eps: 0.987 | Loss: 0.0000
[+00:01:02 | ~01:31:53 left] [Ep 56] Reward: 202.21 | Coverage: 46.9% | Eps: 0.987 | Loss: 0.0000
[+00:01:03 | ~01:31:52 left] [Ep 57] Reward: 420.94 | Coverage: 59.2% | Eps: 0.986 | Loss: 0.0000
[+00:01:05 | ~01:31:51 left] [Ep 58] Reward: 281.41 | Coverage: 55.4% | Eps: 0.986 | Loss: 0.0000
[+00:01:06 | ~01:31:50 left] [Ep 59] Reward: 332.60 | Coverage: 63.7% | Eps: 0.986 | Loss: 0.0000
[+00:01:07 | ~01:31:49 left] [Ep 60] Reward: 222.11 | Coverage: 53.7% | Eps: 0.986 | Loss: 0.0000
[+00:01:08 | ~01:31:48 left] [Ep 61] Reward: 194.47 | Coverage: 43.8% | Eps: 0.986 | Loss: 0.0000
[+00:01:09 | ~01:31:46 left] [Ep 62] Reward: 374.15 | Coverage: 55.4% | Eps: 0.985 | Loss: 0.0000
[+00:01:10 | ~01:31:45 left] [Ep 63] Reward: 273.65 | Coverage: 66.9% | Eps: 0.985 | Loss: 0.0000
[+00:01:11 | ~01:31:44 left] [Ep 64] Reward: 251.72 | Coverage: 53.6% | Eps: 0.985 | Loss: 0.0000
[+00:01:12 | ~01:31:43 left] [Ep 65] Reward: 483.05 | Coverage: 50.3% | Eps: 0.985 | Loss: 0.0000
[+00:01:13 | ~01:31:42 left] [Ep 66] Reward: 213.54 | Coverage: 48.4% | Eps: 0.984 | Loss: 0.0000
[+00:01:14 | ~01:31:41 left] [Ep 67] Reward: 380.63 | Coverage: 49.3% | Eps: 0.984 | Loss: 0.0000
[+00:01:16 | ~01:31:40 left] [Ep 68] Reward: 277.20 | Coverage: 54.1% | Eps: 0.984 | Loss: 0.0000
[+00:01:17 | ~01:31:39 left] [Ep 69] Reward: 219.75 | Coverage: 48.5% | Eps: 0.984 | Loss: 0.0000
[+00:01:18 | ~01:31:37 left] [Ep 70] Reward: 332.21 | Coverage: 65.6% | Eps: 0.983 | Loss: 0.0000
[+00:01:19 | ~01:31:36 left] [Ep 71] Reward: 403.59 | Coverage: 54.2% | Eps: 0.983 | Loss: 0.0000
[+00:01:20 | ~01:31:35 left] [Ep 72] Reward: 382.19 | Coverage: 56.7% | Eps: 0.983 | Loss: 0.0000
[+00:01:21 | ~01:31:34 left] [Ep 73] Reward: 476.00 | Coverage: 65.3% | Eps: 0.983 | Loss: 0.0000
[+00:01:22 | ~01:31:33 left] [Ep 74] Reward: 122.66 | Coverage: 65.7% | Eps: 0.982 | Loss: 0.0000
[+00:01:23 | ~01:31:32 left] [Ep 75] Reward: 145.62 | Coverage: 54.7% | Eps: 0.982 | Loss: 0.0000
[+00:01:25 | ~01:31:31 left] [Ep 76] Reward: 126.41 | Coverage: 58.2% | Eps: 0.982 | Loss: 0.0000
[+00:01:26 | ~01:31:30 left] [Ep 77] Reward: 163.64 | Coverage: 60.8% | Eps: 0.982 | Loss: 0.0000
[+00:01:27 | ~01:31:28 left] [Ep 78] Reward: 324.45 | Coverage: 54.8% | Eps: 0.981 | Loss: 0.0000
[+00:01:28 | ~01:31:27 left] [Ep 79] Reward: 205.31 | Coverage: 44.7% | Eps: 0.981 | Loss: 0.0000
[+00:01:29 | ~01:31:26 left] [Ep 80] Reward: 215.97 | Coverage: 60.2% | Eps: 0.981 | Loss: 0.0000
[+00:01:30 | ~01:31:25 left] [Ep 81] Reward: 396.28 | Coverage: 61.8% | Eps: 0.981 | Loss: 0.0000
[+00:01:31 | ~01:31:24 left] [Ep 82] Reward: 235.16 | Coverage: 58.7% | Eps: 0.981 | Loss: 0.0000
[+00:01:32 | ~01:31:23 left] [Ep 83] Reward: 188.96 | Coverage: 50.1% | Eps: 0.980 | Loss: 0.0000
